timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1706891824013,706,Вход на главную,200,OK,Thread Group 1-1,text,true,,336143,115,2,4,https://dostaevsky.ru/,,564,UTF-8,1,0,DESKTOP-59ENBAD,0,65
1706891823411,706,Вход,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,336143,115,2,4,null,,564,UTF-8,1,0,DESKTOP-59ENBAD,602,65
1706891824414,770,Вход на главную,200,OK,Thread Group 2-1,text,true,,336033,115,2,4,https://dostaevsky.ru/,,635,UTF-8,1,0,DESKTOP-59ENBAD,0,61
1706891823412,770,Вход,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2-1,,true,,336033,115,2,4,null,,635,UTF-8,1,0,DESKTOP-59ENBAD,1003,61
1706891825319,765,Переход на вкладку,200,OK,Thread Group 1-1,text,true,,327747,441,3,6,https://dostaevsky.ru/georgia,,639,UTF-8,1,0,DESKTOP-59ENBAD,0,0
1706891824719,765,Переход на вкладку категории,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,327747,441,3,6,null,,639,UTF-8,1,0,DESKTOP-59ENBAD,606,0
1706891825414,849,Вход на главную,200,OK,Thread Group 2-2,text,true,,336135,115,3,6,https://dostaevsky.ru/,,712,UTF-8,1,0,DESKTOP-59ENBAD,0,57
1706891824413,849,Вход,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2-2,,true,,336135,115,3,6,null,,712,UTF-8,1,0,DESKTOP-59ENBAD,1002,57
1706891825785,809,Результаты поиска,200,OK,Thread Group 2-1,text,true,,331575,485,4,8,https://dostaevsky.ru/search-results?query=%D0%A0%D0%BE%D0%BB%D0%BB%D1%8B,,693,UTF-8,1,0,DESKTOP-59ENBAD,0,0
1706891825185,809,Ввод поискового запроса,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2-1,,true,,331575,485,4,8,null,,693,UTF-8,1,0,DESKTOP-59ENBAD,603,0
1706891826012,679,Вход на главную,200,OK,Thread Group 1-3,text,true,,335297,115,4,8,https://dostaevsky.ru/,,534,UTF-8,1,0,DESKTOP-59ENBAD,0,64
1706891825411,679,Вход,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,335297,115,4,8,null,,534,UTF-8,1,0,DESKTOP-59ENBAD,601,64
1706891826426,708,Вход на главную,200,OK,Thread Group 2-3,text,true,,336196,115,4,8,https://dostaevsky.ru/,,568,UTF-8,1,0,DESKTOP-59ENBAD,0,58
1706891825411,708,Вход,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2-3,,true,,336196,115,4,8,null,,568,UTF-8,1,0,DESKTOP-59ENBAD,1015,58
1706891826693,496,Переход на товар,200,OK,Thread Group 1-1,text,true,,296956,486,4,8,https://dostaevsky.ru/georgia/chicken-with-chkmeruli-sauce-khachapuri-boat,,389,UTF-8,1,0,DESKTOP-59ENBAD,0,0
1706891826090,496,Переход на товар,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,296956,486,4,8,null,,389,UTF-8,1,0,DESKTOP-59ENBAD,605,0
1706891826865,696,Результаты поиска,200,OK,Thread Group 2-2,text,true,,323461,491,5,10,https://dostaevsky.ru/search-results?query=%D0%91%D1%83%D1%80%D0%B3%D0%B5%D1%80,,585,UTF-8,1,0,DESKTOP-59ENBAD,0,0
1706891826264,696,Ввод поискового запроса,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2-2,,true,,323461,491,5,10,null,,585,UTF-8,1,0,DESKTOP-59ENBAD,604,0
1706891827197,517,Переход на первый товар,200,OK,Thread Group 2-1,text,true,,311679,466,5,10,https://dostaevsky.ru/sets-sushi-rolls/california-roll,,410,UTF-8,1,0,DESKTOP-59ENBAD,0,0
1706891826597,517,Выбор первого товара из списка,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2-1,,true,,311679,466,5,10,null,,410,UTF-8,1,0,DESKTOP-59ENBAD,600,0
1706891827013,764,Вход на главную,200,OK,Thread Group 1-4,text,true,,335658,115,5,10,https://dostaevsky.ru/,,615,UTF-8,1,0,DESKTOP-59ENBAD,0,62
1706891826410,764,Вход,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,335658,115,5,10,null,,615,UTF-8,1,0,DESKTOP-59ENBAD,603,62
1706891827291,739,Переход на вкладку,200,OK,Thread Group 1-3,text,true,,368745,438,5,10,https://dostaevsky.ru/pies,,603,UTF-8,1,0,DESKTOP-59ENBAD,0,0
1706891826691,739,Переход на вкладку категории,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,368745,438,5,10,null,,603,UTF-8,1,0,DESKTOP-59ENBAD,603,0
1706891827792,367,Добавить товар в коризну,200,OK,Thread Group 1-1,text,true,,3130,765,5,10,https://dostaevsky.ru/ajax/basket/add_to_basket?item_id=15211,,367,UTF-8,1,0,DESKTOP-59ENBAD,0,0
1706891827736,831,Результаты поиска,200,OK,Thread Group 2-3,text,true,,334368,503,5,10,https://dostaevsky.ru/search-results?query=%D0%93%D0%BE%D0%B2%D1%8F%D0%B4%D0%B8%D0%BD%D0%B0,,717,UTF-8,1,0,DESKTOP-59ENBAD,0,0
1706891827134,831,Ввод поискового запроса,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2-3,,true,,334368,503,5,10,null,,717,UTF-8,1,0,DESKTOP-59ENBAD,604,0
1706891828164,534,Переход на первый товар,200,OK,Thread Group 2-2,text,true,,320908,464,5,10,https://dostaevsky.ru/pizza/smart-cheeseburger-pizza,,422,UTF-8,1,0,DESKTOP-59ENBAD,0,0
1706891827564,534,Выбор первого товара из списка,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2-2,,true,,320908,464,5,10,null,,422,UTF-8,1,0,DESKTOP-59ENBAD,600,0
1706891828011,696,Вход на главную,200,OK,Thread Group 1-5,text,true,,335643,115,5,10,https://dostaevsky.ru/,,556,UTF-8,1,0,DESKTOP-59ENBAD,0,58
1706891827410,696,Вход,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,335643,115,5,10,null,,556,UTF-8,1,0,DESKTOP-59ENBAD,602,58
1706891828768,224,Получить информацию с корзины,200,OK,Thread Group 1-1,text,true,,1738,882,5,10,https://dostaevsky.ru/basket/info,,224,UTF-8,1,0,DESKTOP-59ENBAD,0,0
1706891827191,591,Добавить в корзину,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,4868,1647,5,10,null,,591,UTF-8,1,0,DESKTOP-59ENBAD,1210,0
1706891828323,722,Результаты поиска,200,OK,Thread Group 2-1,text,true,,331837,485,5,10,https://dostaevsky.ru/search-results?query=%D0%A0%D0%BE%D0%BB%D0%BB%D1%8B,,608,UTF-8,1,0,DESKTOP-59ENBAD,0,0
1706891828419,731,Вход на главную,200,OK,Thread Group 2-5,text,true,,335899,115,5,10,https://dostaevsky.ru/,,590,UTF-8,1,0,DESKTOP-59ENBAD,0,59
1706891827412,731,Вход,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2-5,,true,,335899,115,5,10,null,,590,UTF-8,1,0,DESKTOP-59ENBAD,1008,59
1706891828386,797,Переход на вкладку,200,OK,Thread Group 1-4,text,true,,315901,441,5,10,https://dostaevsky.ru/onigiri,,673,UTF-8,1,0,DESKTOP-59ENBAD,0,0
1706891827777,797,Переход на вкладку категории,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,315901,441,5,10,null,,673,UTF-8,1,0,DESKTOP-59ENBAD,611,0
1706891828641,542,Переход на товар,200,OK,Thread Group 1-3,text,true,,307625,461,5,10,https://dostaevsky.ru/pies/curd-and-raspberry-pie,,432,UTF-8,1,0,DESKTOP-59ENBAD,0,0
1706891828033,542,Переход на товар,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,307625,461,5,10,null,,432,UTF-8,1,0,DESKTOP-59ENBAD,610,0
1706891829179,484,Переход на первый товар,200,OK,Thread Group 2-3,text,true,,296006,448,5,10,https://dostaevsky.ru/woks/beef-udon,,384,UTF-8,1,0,DESKTOP-59ENBAD,0,0
1706891828569,484,Выбор первого товара из списка,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2-3,,true,,296006,448,5,10,null,,384,UTF-8,1,0,DESKTOP-59ENBAD,610,0
1706891829606,274,Удалить товар из корзины,200,OK,Thread Group 1-1,text,true,,1350,1008,5,10,https://dostaevsky.ru/basket/update-item-count,,274,UTF-8,1,0,DESKTOP-59ENBAD,0,0
1706891829306,729,Результаты поиска,200,OK,Thread Group 2-2,text,true,,323380,491,5,10,https://dostaevsky.ru/search-results?query=%D0%91%D1%83%D1%80%D0%B3%D0%B5%D1%80,,617,UTF-8,1,0,DESKTOP-59ENBAD,0,0
1706891829321,739,Переход на вкладку,200,OK,Thread Group 1-5,text,true,,318715,441,5,10,https://dostaevsky.ru/burgers,,627,UTF-8,1,0,DESKTOP-59ENBAD,0,0
1706891828708,739,Переход на вкладку категории,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,318715,441,5,10,null,,627,UTF-8,1,0,DESKTOP-59ENBAD,615,0
